"HolderAddress","TotalQuantity"
"0xa6aeffebe3ac5e8a74382698693ee85fc18c59e0","9"
"0x4b35859d950c5a542438914d6853ef781da6fa3f","9"
"0xb2aa190afb919e46c24505909b8f549c7be08ab9","9"
"0x264827b8dd1ca3ef6afb080241b3d3d8de8178b3","9"
"0x837580aa2f28974f8801d3038abb3d63e54c4043","9"
"0xd60fabd72d787b37ce36980ff43fb19927d3a8d7","9"
"0x2319385d52c8e8c9b7bb8ee427144b09810735ee","9"
"0x41689f14353d5042f8f4c57eb2dfc3451ff64699","9"
"0x4db075b2cb169a5df34d17622f6023dba80cf0b2","9"
"0x3bcedb86b09d7ef1dd9b391decbe3fc3dbb888e0","8"
"0x0976b0cf2103e07c35f3f7cbccd9136e1b795090","8"
"0xcceec1a0de7c9b3c1d1a036b059e132888f506d6","8"
"0x38daea6f17e4308b0da9647db9ca6d84a3a7e195","8"
"0xf416b8cef1ac1df45d3549dbb012354f6dd5d0d7","8"
"0x6ce864d5494494f157cf7c28f5dbcddf342313ee","8"
"0xa3b583470a53aeb2848d9b24d0f385be40cfa127","8"
"0xdf5a3f431bd5586d3aaf61776898e21e469cb09c","8"
"0x5fe8b66d909860d702483cdf73340328fe1dcaa7","8"
"0x121880b98308c80af085a26a74f8364f8162b0ae","8"
"0x52383bee34e21fba66fcc9d09c1af0a2ad0399ca","8"
"0x6311a13468e0960857e39b7c5f21616bcc36a03c","8"
"0x6e9736083becffa3290af40e3cc59de040ea66af","8"
"0x8d4ad8f4333e66cd131d2ad68a4ed13d768547ab","8"
"0xa9707f632be606c385775591f320507298b25a42","8"
"0xaf7df2fba9d63d498424ea5505595c68014da619","8"
"0xcc6b864d3703181df9be3bb0a3940c975db6c32f","8"
"0xd13e9656b4fdc74c5daa3363a07a279c9a6f18ba","8"
"0xee2291ea6c27786a220d7368ca32057b6f3260f4","8"
"0xf8e43a551632687db2b87271b5a692ead0ce4e08","8"
"0x186258ddc9fd7c1a808e380f2c2fdf07621afc79","7"
"0x3ca3f8e3903042afc9cc68b704cbca300485eeb2","7"
"0xee05938b34a56509636896ea391288278233dab7","7"
"0x74d75882827b4f7289ceacb0b7ccb0f317f14680","7"
"0x39453ce4e4d8a59c90a919696f9a71779e5e928e","7"
"0x883af811a85bfba74b92ded853f260b4a6a288aa","7"
"0xd43eb3e2a19a274131f73cf5fa139cbb3cd37e06","7"
"0xfce29c4fdfb76ae6211e8a8ff8a352eebfd4f3ef","7"
"0x9dc0dcdcb6926cd93121ad70c4d60870d1b55dd5","7"
"0x011bc8f6a250b1405a96658ce5c110e8991cc700","7"
"0x20b6092af3ebac8ca3de20aaa2f6c8b83e5c66bc","7"
"0x57a02e77fc4d41ca808959850f2dd23f2df4a72a","7"
"0xe8e83ddfc373bbbd22edf5a80a30ec7ded8f2b47","7"
"0x2466887c5ab22f4a19828bff94ab5cdae7186ea9","7"
"0xe15c06355cfd80a3773f68da66afc70eae0e82c1","7"
"0xff3b3fbc04cfe60b9979e432c9ad3e261301843b","7"
"0x3ae28806db12a927f122e8db41663f1678374d94","6"
"0x127b7051810fa34530a10517eed669fb2935e900","6"
"0xaa5f4abcef7945f350645aed38dc4fee9e037ce9","6"
"0xadc33cce5be8ce812c5cf183c024a00b5357e901","6"
"0xcb187a27512561b3c34afd0b8a877d9c889a66c8","6"
"0x9a6ef672c9af8c98201d3ddffba9de4a67bb7df8","6"
"0xf1579fd5bb13d32b95d0aa03d59cf23a30c1d151","6"
"0x795a805d3bc88d0724dea1432f309b65caeef89e","6"
"0x335750d1a6148329c3e2bcd18671cd594d383f9b","6"
"0x7f324b6eac80a6aee4860b14b7a46bdeeb8998b1","6"
"0x51587897f3f326aa89efdfaf5b95325ee23ec30e","6"
"0xb32299683116ef132ed75fa7438d46ac6d74a6c6","6"
"0x7cc58c0492a1a02472b5dadd899aeae9fc5d8a4c","6"
"0xd25f8970f1af8b9e4e6df566052853b52e1394e4","6"
"0x9bffb111093548aafa8dd6d187fc16bfdf7816e9","6"
"0x3f0d58a78adf072624c81414b3309606e796a6bf","6"
"0xffb7fdcc03b7cfc9c1a090d76dbbbe1e33a0cc86","6"
"0x03d1d91db6050bc2e57d92fe8955c25724329b94","6"
"0x05ffdd4c62a41ee952121fa880b0acb6b4e79f4d","6"
"0x4f5f9db14e195484cf7790fd3946cf6e66a166b0","6"
"0x13fd0f712d891509da07ae767493af0886f7c01d","6"
"0xafbb538ddc2de1224de95e6f58fe40cce37577d1","6"
"0x07ed3e8e3ce42087e825011c316e17f0051cc983","6"
"0x12302ec10ca712a9f416f2b735385e9f0870cfa4","6"
"0x46680ad7b59440dd81f99a3d852bbbc910db778d","6"
"0x5edc1a3963319345ba93ecd7e50f59e65590a523","6"
"0x811182755b99ca054c8e37090e0ba904bfb0c5a4","6"
"0x924c0af9d5d988daeb3f06eae3d0831243aef463","6"
"0xa8b0a861dd5ba636942a6c1eee409f234ff467b1","6"
"0x391da915bad2fc6006e33bf0d2fbf0f9ed0cf574","6"
"0xb3402c396e305d85487f855ab4131906dd01e9c5","6"
"0xbb9cf83f52d03b522f5b6014f3308d24dec2e231","6"
"0x10f8546e59d563cbe1517b687b1aecfdc505b9b1","6"
"0x1faa8c7f5f7f4058f18e96ccee966653963c44b0","6"
"0x5cbc00d59bbf6d0b30316c237416ddde217f8b6c","6"
"0x7e4009b2b9fe8aec81571e2f7362c7cdc278541d","6"
"0x9f5f6733624fe91d4817b5a75bf50a1c3e218585","6"
"0xee9715258e6ef7ce1aa6b9a3539eb6b1a5255ec1","6"
"0x9206e24fbc70882ecf38d1819bc462a5aac97e80","6"
"0xe997631094f98d65a7af091b75c7c995790c69b8","6"
"0x0fcc99d642c36539eb870ada83ba3bd8428f4558","6"
"0xe751970824f3bcbf97e611e351c1136776be1ce9","6"
"0xc42db9bf43e8eb2d27fd2f4294f29b5583e11afe","6"
"0xd2ceb647d8d0fe12559abfa34cd99a84af443162","6"
"0x7e209335b0081ecbbe70a7af0e51ddeb1f7a75bd","6"
"0x7bfa8f62939c938badd95be7117c4622e9a55c18","6"
"0x9e0bf7fd04960e337298175b0ab1b1d5efc69b78","6"
"0xea638655a99adef5c427e3073dcf18ebfdbd1422","5"
"0x6866a6a28129839f67da069ceb68ad258830363e","5"
"0x762511ad7ad52ddc78e16725c5001ed9cf904e41","5"
"0xd9012a2153f08c0a97bc4916782bfdf174bb9e9d","5"
"0x0e1f06eb83c10797c57968a42c4a65f960ad94d9","5"
"0xba12c08c2690f8b8b6cbd2e09f6a9614251cabd5","5"
"0x330088cc40d2099e834674eac709090b48111803","5"
"0x4d2a353dcd9b25a241382241c9b9a27b7cd08f20","5"
"0xa0eb44b173af64f2fdb47c7d76ff3a33e04103b6","5"
"0x979c341edb41e42b3c7e1206df38fe27c0557a34","5"
"0xac80d8f67433e29ac33294254bd4329f7905f7df","5"
"0x8eabacf3a51608c53253e82e2f51e907972be3cd","5"
"0x89eac1f78a7fd9d4feefed48c548f919491ce3eb","5"
"0x0411731be3b7cba409ede437472b75004353d81a","5"
"0xc7d3fd7ceadf3648d332807026b7b6bc0bbfa878","5"
"0x7d0bed5a42ea7fca969cd6b3c97b0c0b6c2f86d6","5"
"0x810e30271cdbd01769a7a4aade0d22eda193558d","5"
"0x058ca0d53f66dbaab356a0c241af554167a3d39d","5"
"0xb58f037479d44f2e26bb210c32e34bbbcdf62213","5"
"0x04ccc7fa2fc600914fa95db34ab27c9437e742fd","5"
"0x1ab65c32cce25f6729883f40fa4175ddf0b3ab58","5"
"0x275018526cc590c8f7e7f02e4bd821f69b0dfaeb","5"
"0x54885a513aee861937059a7a33970b0382de25d8","5"
"0x738f0cee2e160178cd61c1792adcfdb8de10e6de","5"
"0x9d54afc9a42b375a60f0ad70d073b1cdbb8b9c9b","5"
"0xa43157c581155556f9b571126d287df606b9a628","5"
"0xb8898bb87b07bac7ba9c2268e6d0640d5a208a7a","5"
"0xc8c768053dcbbf77f248907de92e856d1052ce6a","5"
"0xe810017540bab5f96ea478e84704af52403ce496","5"
"0xeb17b18d1c1503e6f090fc15c2318903d0a906f2","5"
"0xc4735b87dfb6c7cc3651677651e4bf139b27cc59","5"
"0x9d068c281afa4f518e2393702adff6b4f22c1156","5"
"0x119357d6ace3942901b1fc57021b80b2a43a6051","5"
"0x30a2c1dab998c6bdc29ee0f11917da7cd9c9708d","5"
"0x4ee5ea60cfea4a8bef2e57f5ab71664172e248f1","5"
"0x5ba5bb2dda6770898855e40c2f2b5cd5d8e91d57","5"
"0x907da8231ee751203aef9a792d27bec17a399523","5"
"0xa7530577983e2a1bcbd094edee034586efc65ec9","5"
"0xbae4f1709df901c8f44055169fa216a10abfde67","5"
"0xc29bf8c9599dd1fe52dd1a025a872ac8db173acb","5"
"0xd0aa4abc10aebaa36a1629c13b6cca72b39e903d","5"
"0xe496803fcb657e462e3279a8cc4c9bb06d035ccd","5"
"0xe53fefbd1ca8723490023cbaf6b13ed38dae5d95","5"
"0xfce688949bc7eb418726e80acc370ba023dc5a5a","5"
"0x8374c64ca16be5296419944e2d7bc6eb5b419b75","5"
"0x008344365af7a1bce99ef645bac823787624565d","5"
"0xd849a8d2edf4d71b8f9c60aadc661be8b54fe0d1","5"
"0x78fd06a971d8bd1ccf3ba2e16cd2d5ea451933e2","5"
"0x2385173ce86b8891ae5b297c881fdadf7605a11f","5"
"0x66ec0e7cac032dc2867a4454ff5ef99daf0c89d3","5"
"0x0a518e4490f2e89a705e0866a07a204119ea432f","5"
"0x4c9c3626cf1828da7b58a50dc2f6aa2c4546609e","5"
"0xd08c3c698c25b3cc25b6d9bb7a9224070679b04b","5"
"0x861536989376de62b74b8e26f86f4beffc67e89d","5"
"0x32e53edbc798ca5cec6ed90be59cbed88bb89a8e","4"
"0x3565261a65ba0f3f38170408bab229bede94bad7","4"
"0x4cb84dddafb32763c024743ba35d5d4b6057edd6","4"
"0xf2c440c17f30e7ebeb1fd4d0cbc1f415877526aa","4"
"0xff2072dedb5685907df1121cc481cb4e413e05f1","4"
"0x19c12f48b0ad9e639e819443a6f24e9d257475f9","4"
"0x2ce577e7d32230452e9b6f2198b91708e56befaf","4"
"0x79f095c916abf6861333939b44453d1f4db4134c","4"
"0x81b280f522ced44e30e2127588a055dca262ea6c","4"
"0x1e8a2bcb241d3ad860c95fe200c2cc6aed1fa5c8","4"
"0x2f75ffe98046e4a55fa79daf97b2730d7e707186","4"
"0x5f7ce7d55db4ba9f7940927dbc0a9789d474715b","4"
"0x66697dabffe51a73e506f463b27e388512ed6ecd","4"
"0x762c8b9ffe6b8b34c8667717ec9ba07e53af1f7b","4"
"0x886243bac92e190de060e80af1fff2a1919f07bf","4"
"0xe80e65b57636eb6f0d00fe54e1be4f3f89f82403","4"
"0x96f71f5ef424d560c9df490b453802c24d2cd705","4"
"0xae2114ecebecd9b41907936c7d818d8cd149a08f","4"
"0xc6eba1743c1f01846acf93dbcac5261779fd1686","4"
"0x6f69f79cea418024b9e0acfd18bd8de26f9bbe39","4"
"0x8af2cc382a57ef846c147669e050a3e5a3804cdf","4"
"0x778ee0e49ba8cab805cd4a3a17e61f9e1c8f40ee","4"
"0x514b6de6739da6f5277775ee144e633dd212bcf7","4"
"0xb2937626152956d7b5bfffd4a22d021c8592d6be","4"
"0x82cfa55b05412751268913088cd058a84740b985","4"
"0x79092a805f1cf9b0f5be3c5a296de6e51c1ded34","4"
"0xcebf0cc22280588250114e5005e987e5bd696769","4"
"0x89bb98c685e90496a20e9fcf0c7e9909d82653ce","4"
"0x66656208fdd27cd4d6843aad29917407307f1cb8","4"
"0xb2d9608276f98836936619d3eef78f42ed6b252e","4"
"0x687d44a0bb48a99f5cf01193ea1b52a6d8bbb3f0","4"
"0xc992bdc378c61ecffb7e54bce71c08ec342b4e73","4"
"0x3ece7fcc0ce7ac60788500fffdd7684fd9eb408d","4"
"0x23218d27ba3455012be35a4911bdf5f164aafa97","4"
"0x8a4cd3db5a63dafe5e7e754eef12510e6c9fa51c","4"
"0xaea07781fd5fd57f363ddb161b47fc34627c95be","4"
"0x5bc4346fef094ae8e9492a97d5751065db18f944","4"
